_comment,year,fertility,life_expect,n_fertility,n_life_expect,country,p_fertility,p_life_expect
,1955,6.7,51.356,6.7,54.64,Ecuador,,
,1960,6.7,54.64,6.5,56.678,Ecuador,6.7,51.356
,1965,6.5,56.678,6.0005,58.796,Ecuador,6.7,54.64
,1970,6.0005,58.796,5.4005,61.31,Ecuador,6.5,56.678
,1975,5.4005,61.31,4.7005,64.342,Ecuador,6.0005,58.796
,1980,4.7005,64.342,4.0,67.231,Ecuador,5.4005,61.31
,1985,4.0,67.231,3.4005,69.613,Ecuador,4.7005,64.342
,1990,3.4005,69.613,3.1,72.312,Ecuador,4.0,67.231
,1995,3.1,72.312,2.8175,74.173,Ecuador,3.4005,69.613
,2000,2.8175,74.173,,,Ecuador,3.1,72.312
,1955,6.97,44.444,7.073,46.992,Egypt,,
,1960,7.073,46.992,6.5600000000000005,49.293,Egypt,6.97,44.444
,1965,6.5600000000000005,49.293,5.855,51.137,Egypt,7.073,46.992
,1970,5.855,51.137,5.609,53.319,Egypt,6.5600000000000005,49.293
,1975,5.609,53.319,5.332,56.006,Egypt,5.855,51.137
,1980,5.332,56.006,4.833,59.797,Egypt,5.609,53.319
,1985,4.833,59.797,3.908,63.674,Egypt,5.332,56.006
,1990,3.908,63.674,3.5,67.217,Egypt,4.833,59.797
,1995,3.5,67.217,3.174,69.806,Egypt,3.908,63.674
,2000,3.174,69.806,,,Egypt,3.5,67.217
,1955,6.8065,48.57,6.8469999999999995,52.307,El Salvador,,
,1960,6.8469999999999995,52.307,6.621,55.855,El Salvador,6.8065,48.57
,1965,6.621,55.855,6.0995,58.207,El Salvador,6.8469999999999995,52.307
,1970,6.0995,58.207,5.5996,56.696,El Salvador,6.621,55.855
,1975,5.5996,56.696,4.5,56.604,El Salvador,6.0995,58.207
,1980,4.5,56.604,3.901,63.154,El Salvador,5.5996,56.696
,1985,3.901,63.154,3.52,66.798,El Salvador,4.5,56.604
,1990,3.52,66.798,3.17,69.535,El Salvador,3.901,63.154
,1995,3.17,69.535,2.883,70.734,El Salvador,3.52,66.798
,2000,2.883,70.734,,,El Salvador,3.17,69.535
,1955,2.769,67.49,2.66,68.75,Finland,,
,1960,2.66,68.75,2.191,69.83,Finland,2.769,67.49
,1965,2.191,69.83,1.623,70.87,Finland,2.66,68.75
,1970,1.623,70.87,1.663,72.52,Finland,2.191,69.83
,1975,1.663,72.52,1.685,74.55,Finland,1.623,70.87
,1980,1.685,74.55,1.6600000000000001,74.83,Finland,1.663,72.52
,1985,1.6600000000000001,74.83,1.819,75.7,Finland,1.685,74.55
,1990,1.819,75.7,1.7429999999999999,77.13,Finland,1.6600000000000001,74.83
,1995,1.7429999999999999,77.13,1.754,78.37,Finland,1.819,75.7
,2000,1.754,78.37,,,Finland,1.7429999999999999,77.13
,1955,2.7119999999999997,68.93,2.85,70.51,France,,
,1960,2.85,70.51,2.607,71.55,France,2.7119999999999997,68.93
,1965,2.607,71.55,2.31,72.38,France,2.85,70.51
,1970,2.31,72.38,1.862,73.83,France,2.607,71.55
,1975,1.862,73.83,1.866,74.89,France,2.31,72.38
,1980,1.866,74.89,1.8050000000000002,76.34,France,1.862,73.83
,1985,1.8050000000000002,76.34,1.713,77.46,France,1.866,74.89
,1990,1.713,77.46,1.7624,78.64,France,1.8050000000000002,76.34
,1995,1.7624,78.64,1.8833000000000002,79.59,France,1.713,77.46
,2000,1.8833000000000002,79.59,,,France,1.7624,78.64
,1955,2.909,62.625,2.979,64.644,Georgia,,
,1960,2.979,64.644,2.6109999999999998,66.654,Georgia,2.909,62.625
,1965,2.6109999999999998,66.654,2.601,68.158,Georgia,2.979,64.644
,1970,2.601,68.158,2.39,69.634,Georgia,2.6109999999999998,66.654
,1975,2.39,69.634,2.269,69.638,Georgia,2.601,68.158
,1980,2.269,69.638,2.263,70.45,Georgia,2.39,69.634
,1985,2.263,70.45,1.9500000000000002,70.465,Georgia,2.269,69.638
,1990,1.9500000000000002,70.465,1.58,70.49,Georgia,2.263,70.45
,1995,1.58,70.49,1.478,70.476,Georgia,1.9500000000000002,70.465
,2000,1.478,70.476,,,Georgia,1.58,70.49
,1955,2.3,69.1,2.49,70.3,Germany,,
,1960,2.49,70.3,2.32,70.8,Germany,2.3,69.1
,1965,2.32,70.8,1.6400000000000001,71.0,Germany,2.49,70.3
,1970,1.6400000000000001,71.0,1.52,72.5,Germany,2.32,70.8
,1975,1.52,72.5,1.46,73.8,Germany,1.6400000000000001,71.0
,1980,1.46,73.8,1.43,74.847,Germany,1.52,72.5
,1985,1.43,74.847,1.31,76.07,Germany,1.46,73.8
,1990,1.31,76.07,1.34,77.34,Germany,1.43,74.847
,1995,1.34,77.34,1.346,78.67,Germany,1.31,76.07
,2000,1.346,78.67,,,Germany,1.34,77.34
,1955,2.27,67.86,2.2,69.51,Greece,,
,1960,2.2,69.51,2.38,71.0,Greece,2.27,67.86
,1965,2.38,71.0,2.32,72.34,Greece,2.2,69.51
,1970,2.32,72.34,2.32,73.68,Greece,2.38,71.0
,1975,2.32,73.68,1.96,75.24,Greece,2.32,72.34
,1980,1.96,75.24,1.53,76.67,Greece,2.32,73.68
,1985,1.53,76.67,1.37,77.03,Greece,1.96,75.24
,1990,1.37,77.03,1.296,77.869,Greece,1.53,76.67
,1995,1.296,77.869,1.2770000000000001,78.256,Greece,1.37,77.03
,2000,1.2770000000000001,78.256,,,Greece,1.296,77.869
,1955,6.7,63.114,6.4,63.608,Grenada,,
,1960,6.4,63.608,4.8,64.091,Grenada,6.7,63.114
,1965,4.8,64.091,4.6,64.577,Grenada,6.4,63.608
,1970,4.6,64.577,4.3,65.035,Grenada,4.8,64.091
,1975,4.3,65.035,4.23,65.503,Grenada,4.6,64.577
,1980,4.23,65.503,4.14,66.002,Grenada,4.3,65.035
,1985,4.14,66.002,3.26,66.469,Grenada,4.23,65.503
,1990,3.26,66.469,2.814,66.986,Grenada,4.14,66.002
,1995,2.814,66.986,2.429,67.746,Grenada,3.26,66.469
,2000,2.429,67.746,,,Grenada,2.814,66.986
,1955,6.3,40.696,6.3,43.59,Haiti,,
,1960,6.3,43.59,6.0,46.243,Haiti,6.3,40.696
,1965,6.0,46.243,5.6005,48.042,Haiti,6.3,43.59
,1970,5.6005,48.042,5.8,49.923,Haiti,6.0,46.243
,1975,5.8,49.923,6.2099,51.461,Haiti,5.6005,48.042
,1980,6.2099,51.461,5.69985,53.636,Haiti,5.8,49.923
,1985,5.69985,53.636,5.14985,55.089,Haiti,6.2099,51.461
,1990,5.14985,55.089,4.61995,56.671,Haiti,5.69985,53.636
,1995,4.61995,56.671,4.0,58.137,Haiti,5.14985,55.089
,2000,4.0,58.137,,,Haiti,4.61995,56.671
,1955,4.72,64.75,5.31,67.65,Hong Kong,,
,1960,5.31,67.65,4.02,70.0,Hong Kong,4.72,64.75
,1965,4.02,70.0,2.89,72.0,Hong Kong,5.31,67.65
,1970,2.89,72.0,2.32,73.6,Hong Kong,4.02,70.0
,1975,2.32,73.6,1.8,75.45,Hong Kong,2.89,72.0
,1980,1.8,75.45,1.31,76.2,Hong Kong,2.32,73.6
,1985,1.31,76.2,1.288,77.601,Hong Kong,1.8,75.45
,1990,1.288,77.601,1.08,80.0,Hong Kong,1.31,76.2
,1995,1.08,80.0,0.9400000000000001,81.495,Hong Kong,1.288,77.601
,2000,0.9400000000000001,81.495,,,Hong Kong,1.08,80.0
,1955,4.023,73.47,3.943,73.68,Iceland,,
,1960,3.943,73.68,3.154,73.73,Iceland,4.023,73.47
,1965,3.154,73.73,2.843,74.46,Iceland,3.943,73.68
,1970,2.843,74.46,2.287,76.11,Iceland,3.154,73.73
,1975,2.287,76.11,2.248,76.99,Iceland,2.843,74.46
,1980,2.248,76.99,2.116,77.23,Iceland,2.287,76.11
,1985,2.116,77.23,2.194,78.77,Iceland,2.248,76.99
,1990,2.194,78.77,2.056,78.95,Iceland,2.116,77.23
,1995,2.056,78.95,1.9929999999999999,80.5,Iceland,2.194,78.77
,2000,1.9929999999999999,80.5,,,Iceland,2.056,78.95
,1955,5.8961,40.249,5.8216,43.605,India,,
,1960,5.8216,43.605,5.6058,47.193,India,5.8961,40.249
,1965,5.6058,47.193,5.264,50.651,India,5.8216,43.605
,1970,5.264,50.651,4.8888,54.208,India,5.6058,47.193
,1975,4.8888,54.208,4.4975,56.596,India,5.264,50.651
,1980,4.4975,56.596,4.15,58.553,India,4.8888,54.208
,1985,4.15,58.553,3.8648,60.223,India,4.4975,56.596
,1990,3.8648,60.223,3.4551,61.765,India,4.15,58.553
,1995,3.4551,61.765,3.1132,62.879,India,3.8648,60.223
,2000,3.1132,62.879,,,India,3.4551,61.765
,1955,5.672,39.918,5.62,42.518,Indonesia,,
,1960,5.62,42.518,5.568,45.964,Indonesia,5.672,39.918
,1965,5.568,45.964,5.3,49.203,Indonesia,5.62,42.518
,1970,5.3,49.203,4.73,52.702,Indonesia,5.568,45.964
,1975,4.73,52.702,4.109,56.159,Indonesia,5.3,49.203
,1980,4.109,56.159,3.4,60.137,Indonesia,4.73,52.702
,1985,3.4,60.137,2.9,62.681,Indonesia,4.109,56.159
,1990,2.9,62.681,2.55,66.041,Indonesia,3.4,60.137
,1995,2.55,66.041,2.3761,68.588,Indonesia,2.9,62.681
,2000,2.3761,68.588,,,Indonesia,2.55,66.041
,1955,7.0,47.181,7.0,49.325,Iran,,
,1960,7.0,49.325,6.8,52.469,Iran,7.0,47.181
,1965,6.8,52.469,6.4,55.234,Iran,7.0,49.325
,1970,6.4,55.234,6.5,57.702,Iran,6.8,52.469
,1975,6.5,57.702,6.63,59.62,Iran,6.4,55.234
,1980,6.63,59.62,5.62,63.04,Iran,6.5,57.702
,1985,5.62,63.04,4.328,65.742,Iran,6.63,59.62
,1990,4.328,65.742,2.534,68.042,Iran,5.62,63.04
,1995,2.534,68.042,2.124,69.451,Iran,4.328,65.742
,2000,2.124,69.451,,,Iran,2.534,68.042
,1955,7.3,48.437,7.25,51.457,Iraq,,
,1960,7.25,51.457,7.2,54.459,Iraq,7.3,48.437
,1965,7.2,54.459,7.15,56.95,Iraq,7.25,51.457
,1970,7.15,56.95,6.8,60.413,Iraq,7.2,54.459
,1975,6.8,60.413,6.35,62.038,Iraq,7.15,56.95
,1980,6.35,62.038,6.15,65.044,Iraq,6.8,60.413
,1985,6.15,65.044,5.7,59.461,Iraq,6.35,62.038
,1990,5.7,59.461,5.37,58.811,Iraq,6.15,65.044
,1995,5.37,58.811,4.858,57.046,Iraq,5.7,59.461
,2000,4.858,57.046,,,Iraq,5.37,58.811
,1955,3.68,68.9,3.979,70.29,Ireland,,
,1960,3.979,70.29,3.873,71.08,Ireland,3.68,68.9
,1965,3.873,71.08,3.815,71.28,Ireland,3.979,70.29
,1970,3.815,71.28,3.478,72.03,Ireland,3.873,71.08
,1975,3.478,72.03,2.877,73.1,Ireland,3.815,71.28
,1980,2.877,73.1,2.287,74.36,Ireland,3.478,72.03
,1985,2.287,74.36,1.9689999999999999,75.467,Ireland,2.877,73.1
,1990,1.9689999999999999,75.467,1.9,76.122,Ireland,2.287,74.36
,1995,1.9,76.122,1.9689999999999999,77.783,Ireland,1.9689999999999999,75.467
,2000,1.9689999999999999,77.783,,,Ireland,1.9,76.122
,1955,3.893,67.84,3.852,69.39,Israel,,
,1960,3.852,69.39,3.79,70.75,Israel,3.893,67.84
,1965,3.79,70.75,3.77,71.63,Israel,3.852,69.39
,1970,3.77,71.63,3.409,73.06,Israel,3.79,70.75
,1975,3.409,73.06,3.125,74.45,Israel,3.77,71.63
,1980,3.125,74.45,3.051,75.6,Israel,3.409,73.06
,1985,3.051,75.6,2.933,76.93,Israel,3.125,74.45
,1990,2.933,76.93,2.942,78.269,Israel,3.051,75.6
,1995,2.942,78.269,2.906,79.696,Israel,2.933,76.93
,2000,2.906,79.696,,,Israel,2.942,78.269
,1955,2.35,67.81,2.498,69.24,Italy,,
,1960,2.498,69.24,2.493,71.06,Italy,2.35,67.81
,1965,2.493,71.06,2.325,72.19,Italy,2.498,69.24
,1970,2.325,72.19,1.889,73.48,Italy,2.493,71.06
,1975,1.889,73.48,1.53,74.98,Italy,2.325,72.19
,1980,1.53,74.98,1.349,76.42,Italy,1.889,73.48
,1985,1.349,76.42,1.275,77.44,Italy,1.53,74.98
,1990,1.275,77.44,1.213,78.82,Italy,1.349,76.42
,1995,1.213,78.82,1.286,80.24,Italy,1.275,77.44
,2000,1.286,80.24,,,Italy,1.213,78.82
,1955,5.08,62.61,5.64,65.61,Jamaica,,
,1960,5.64,65.61,5.78,67.51,Jamaica,5.08,62.61
,1965,5.78,67.51,5.0,69.0,Jamaica,5.64,65.61
,1970,5.0,69.0,4.0,70.11,Jamaica,5.78,67.51
,1975,4.0,70.11,3.55,71.21,Jamaica,5.0,69.0
,1980,3.55,71.21,3.1,71.77,Jamaica,4.0,70.11
,1985,3.1,71.77,2.84,71.766,Jamaica,3.55,71.21
,1990,2.84,71.766,2.67,72.262,Jamaica,3.1,71.77
,1995,2.67,72.262,2.628,72.047,Jamaica,2.84,71.766
,2000,2.628,72.047,,,Jamaica,2.67,72.262
,1955,2.08,65.5,2.02,68.73,Japan,,
,1960,2.02,68.73,2.0,71.43,Japan,2.08,65.5
,1965,2.0,71.43,2.07,73.42,Japan,2.02,68.73
,1970,2.07,73.42,1.81,75.38,Japan,2.0,71.43
,1975,1.81,75.38,1.76,77.11,Japan,2.07,73.42
,1980,1.76,77.11,1.6600000000000001,78.67,Japan,1.81,75.38
,1985,1.6600000000000001,78.67,1.49,79.36,Japan,1.76,77.11
,1990,1.49,79.36,1.3900000000000001,80.69,Japan,1.6600000000000001,78.67
,1995,1.3900000000000001,80.69,1.291,82.0,Japan,1.49,79.36
,2000,1.291,82.0,,,Japan,1.3900000000000001,80.69
,1955,7.816,44.686,8.12,47.949,Kenya,,
,1960,8.12,47.949,8.12,50.654,Kenya,7.816,44.686
,1965,8.12,50.654,8.0,53.559,Kenya,8.12,47.949
,1970,8.0,53.559,7.6,56.155,Kenya,8.12,50.654
,1975,7.6,56.155,7.2,58.766,Kenya,8.0,53.559
,1980,7.2,58.766,6.5,59.339,Kenya,7.6,56.155
,1985,6.5,59.339,5.4,59.285,Kenya,7.2,58.766
,1990,5.4,59.285,5.0,54.407,Kenya,6.5,59.339
,1995,5.0,54.407,5.0,50.992,Kenya,5.4,59.285
,2000,5.0,50.992,,,Kenya,5.0,54.407
,1955,3.8,54.081,3.41,56.656,South Korea,,
,1960,3.41,56.656,4.09,59.942,South Korea,3.8,54.081
,1965,4.09,59.942,3.7199999999999998,63.983,South Korea,3.41,56.656
,1970,3.7199999999999998,63.983,2.58,67.159,South Korea,4.09,59.942
,1975,2.58,67.159,2.93,69.1,South Korea,3.7199999999999998,63.983
,1980,2.93,69.1,2.45,70.647,South Korea,2.58,67.159
,1985,2.45,70.647,2.35,69.978,South Korea,2.93,69.1
,1990,2.35,69.978,2.0938,67.727,South Korea,2.45,70.647
